,year,month,temperature
77556,1869,3,24.627
77557,1869,4,24.684
77558,1869,5,24.6
77559,1869,6,23.747
77560,1869,7,23.49
77561,1869,8,24.31
77562,1869,9,25.298
77563,1869,10,25.172
77564,1869,11,25.304
77565,1869,12,24.634
77566,1870,1,24.98
77567,1870,2,24.718000000000004
77568,1870,3,24.704
77569,1870,4,24.293000000000003
77570,1870,5,24.196
77571,1870,6,23.692
77572,1870,7,23.705
77573,1870,8,23.995
77574,1870,9,24.918000000000003
77575,1870,10,25.607
77576,1870,11,25.194000000000003
77577,1870,12,24.518
77578,1871,1,24.768
77579,1871,2,24.5
77580,1871,3,25.078000000000003
77581,1871,4,24.716
77582,1871,5,23.682
77583,1871,6,23.034
77584,1871,7,23.122
77585,1871,8,24.328000000000003
77586,1871,9,24.887
77587,1871,10,25.423
77588,1871,11,24.825
77589,1871,12,24.874
77590,1872,1,25.047
77591,1872,2,24.97300000000001
77592,1872,3,25.045
77593,1872,4,24.043000000000003
77594,1872,5,23.663
77595,1872,6,22.823
77596,1872,7,23.083
77597,1872,8,24.289
77598,1872,9,25.347
77599,1872,10,25.344
77600,1872,11,25.007
77601,1872,12,24.565
77602,1873,1,25.317
77603,1873,2,25.371
77604,1873,3,24.645
77605,1873,4,24.249
77606,1873,5,24.653
77607,1873,6,23.829
77608,1873,7,23.416
77609,1873,8,24.553
77610,1873,9,24.987
77611,1873,10,25.373
77612,1873,11,25.142
77613,1873,12,25.366
77614,1874,1,25.137
77615,1874,2,25.024
77616,1874,3,24.483
77617,1874,4,24.446
77618,1874,5,23.659
77619,1874,6,23.114
77620,1874,7,23.057
77621,1874,8,24.017
77622,1874,9,25.163
77623,1874,10,25.155
77624,1874,11,24.727
77625,1874,12,24.622
77626,1875,1,24.375
77627,1875,2,24.527
77628,1875,3,23.987
77629,1875,4,23.844
77630,1875,5,23.407
77631,1875,6,22.525
77632,1875,7,22.75
77633,1875,8,23.346
77634,1875,9,24.358
77635,1875,10,24.71
77636,1875,11,24.236
77637,1875,12,24.894
77638,1876,1,24.856
77639,1876,2,24.695
77640,1876,3,24.872
77641,1876,4,24.237
77642,1876,5,23.76
77643,1876,6,22.742
77644,1876,7,23.301
77645,1876,8,23.598000000000003
77646,1876,9,24.804
77647,1876,10,25.073
77648,1876,11,24.6
77649,1876,12,24.054
77650,1877,1,24.984
77651,1877,2,25.254
77652,1877,3,25.656
77653,1877,4,24.852
77654,1877,5,23.889
77655,1877,6,23.335
77656,1877,7,24.172
77657,1877,8,24.406
77658,1877,9,25.353
77659,1877,10,25.751
77660,1877,11,25.564
77661,1877,12,24.873
77662,1878,1,25.001
77663,1878,2,26.040000000000006
77664,1878,3,26.756
77665,1878,4,25.6
77666,1878,5,23.527
77667,1878,6,23.72600000000001
77668,1878,7,23.81
77669,1878,8,24.208
77670,1878,9,25.295
77671,1878,10,25.399
77672,1878,11,25.791
77673,1878,12,24.973000000000003
77674,1879,1,24.92
77675,1879,2,24.922
77676,1879,3,24.728
77677,1879,4,23.962
77678,1879,5,23.284
77679,1879,6,22.655
77680,1879,7,23.285
77681,1879,8,23.341
77682,1879,9,24.22
77683,1879,10,25.17
77684,1879,11,24.999
77685,1879,12,24.28
77686,1880,1,24.492
77687,1880,2,24.411
77688,1880,3,24.649
77689,1880,4,23.887
77690,1880,5,23.905
77691,1880,6,23.428
77692,1880,7,23.517
77693,1880,8,24.686
77694,1880,9,24.305
77695,1880,10,24.741
77696,1880,11,25.137
77697,1880,12,24.951
77698,1881,1,25.065
77699,1881,2,24.744000000000003
77700,1881,3,25.291
77701,1881,4,24.479
77702,1881,5,23.876
77703,1881,6,22.782
77704,1881,7,23.063
77705,1881,8,23.756
77706,1881,9,25.152
77707,1881,10,25.264
77708,1881,11,24.696
77709,1881,12,25.049
77710,1882,1,25.318
77711,1882,2,24.962000000000003
77712,1882,3,24.807
77713,1882,4,23.845
77714,1882,5,23.606
77715,1882,6,22.518
77716,1882,7,22.371
77717,1882,8,23.947
77718,1882,9,24.533
77719,1882,10,24.91200000000001
77720,1882,11,24.399
77721,1882,12,23.622
77722,1883,1,24.196
77723,1883,2,24.284
77724,1883,3,25.022
77725,1883,4,23.94400000000001
77726,1883,5,23.578000000000003
77727,1883,6,23.096
77728,1883,7,22.882
77729,1883,8,23.263
77730,1883,9,24.412
77731,1883,10,25.097
77732,1883,11,24.491
77733,1883,12,24.803
77734,1884,1,24.334000000000003
77735,1884,2,24.426
77736,1884,3,24.253
77737,1884,4,23.667
77738,1884,5,22.873
77739,1884,6,22.373
77740,1884,7,22.819000000000003
77741,1884,8,24.504
77742,1884,9,24.331
77743,1884,10,24.596
77744,1884,11,24.774
77745,1884,12,24.62
77746,1885,1,24.106
77747,1885,2,24.475
77748,1885,3,24.231
77749,1885,4,24.217
77750,1885,5,23.83
77751,1885,6,22.638
77752,1885,7,23.279
77753,1885,8,23.772
77754,1885,9,24.953000000000003
77755,1885,10,25.103
77756,1885,11,25.447
77757,1885,12,25.685
77758,1886,1,24.78700000000001
77759,1886,2,23.966
77760,1886,3,24.615
77761,1886,4,24.297
77762,1886,5,23.042
77763,1886,6,22.171
77764,1886,7,22.556
77765,1886,8,23.317
77766,1886,9,24.779
77767,1886,10,24.801
77768,1886,11,24.858
77769,1886,12,24.926
77770,1887,1,24.040000000000006
77771,1887,2,24.502
77772,1887,3,24.284
77773,1887,4,24.059
77774,1887,5,23.449
77775,1887,6,23.059
77776,1887,7,22.895
77777,1887,8,24.361
77778,1887,9,24.956
77779,1887,10,25.31
77780,1887,11,25.111
77781,1887,12,25.324
77782,1888,1,24.472
77783,1888,2,24.654
77784,1888,3,24.466
77785,1888,4,24.001
77786,1888,5,23.354
77787,1888,6,22.772
77788,1888,7,23.228
77789,1888,8,24.192
77790,1888,9,25.787
